team,name,confed,prior_matches,new_matches,total_matches,prior_weight,new_weight,prior_off,prior_xG_scaled,new_xG,pooled_xG_pre_normalization,xG,prior_def,prior_xGA_scaled,new_xGA,pooled_xGA_pre_normalization,xGA
East Timor,Timor-Leste,AFC,17.0,4.0,21.0,0.8095238095238095,0.19047619047619047,0.0273608121630663,0.026897093069072658,0.0011438828987231,0.02199171970329179,0.021390927791390384,2.634459490951884,2.634459490951884,2.867315150197835,2.678812949855875,2.556362778847193
Ecuador,Ecuador,CONMEBOL,40.0,8.0,48.0,0.8333333333333334,0.16666666666666666,1.8690198429832527,1.8373431448253572,1.373781445734,1.7600828616434645,1.711999148235941,0.5709074463846332,0.5709074463846332,0.2825338098062281,0.5228451736215657,0.4989456023863029
Egypt,Egypt,CAF,38.0,16.0,54.0,0.7037037037037037,0.2962962962962963,1.6780816527327005,1.6496410311965104,1.1716580837123052,1.5080164541641534,1.4668189443331943,0.6556523929414856,0.6556523929414856,0.9720059918591932,0.7493867926208063,0.7151318660448381
El Salvador,El Salvador,CONCACAF,39.0,12.0,51.0,0.7647058823529411,0.23529411764705882,0.873074428171297,0.8582773059072466,0.4211608434381326,0.7554263735615728,0.7347888762945961,0.985402059409132,0.985402059409132,1.3450533358570338,1.0700258891615795,1.0211143542525811
England,England,UEFA,42.0,8.0,50.0,0.84,0.16,2.277579200629801,2.2389781182817963,2.182717960789873,2.2299764930830883,2.1690557529658867,0.5203963035671281,0.5203963035671281,0.187611025061881,0.4671506590062885,0.4457969179452651
Equatorial Guinea,Equatorial Guinea,CAF,31.0,10.0,41.0,0.7560975609756098,0.24390243902439024,1.1221612719408618,1.103142552568138,0.944171488371003,1.0643691222761538,1.0352916163526222,0.839723588892193,0.839723588892193,1.7784019774810949,1.0686695373285107,1.0198200020876549
Estonia,Estonia,UEFA,36.0,8.0,44.0,0.8181818181818182,0.18181818181818182,1.0810043079505345,1.0626831289117518,1.4998396996135062,1.1421661417666162,1.1109632986384226,0.9292740780569017,0.9292740780569017,1.2281321930792233,0.9836119171518692,0.9386504175190172
Eswatini,Swaziland,CAF,33.0,4.0,37.0,0.8918918918918919,0.10810810810810811,0.8134872157781393,0.799699995120075,0.4859133420225343,0.7657771137041246,0.744856844510089,1.0551489320276533,1.0551489320276533,1.7394488724773496,1.129127303968161,1.0775142074027915
Ethiopia,Ethiopia,CAF,26.0,4.0,30.0,0.8666666666666667,0.13333333333333333,0.910206513126159,0.8947800653621658,0.9919362566459738,0.9077342242000069,0.8829358279211643,1.196676224077393,1.196676224077393,1.2126132115340444,1.1988011557382798,1.1440032249856098
Faroe Islands,Faroe Islands,UEFA,32.0,8.0,40.0,0.8,0.2,0.8555519343861507,0.8410517885018266,1.4764066660206183,0.968122764005585,0.9416746128746333,1.0475461361096357,1.0475461361096357,0.7534229475980129,0.9887214984073112,0.9435264367041604
Fiji,Fiji,OFC,29.0,4.0,33.0,0.8787878787878788,0.12121212121212122,0.3685041597143651,0.362258642802908,0.0012700906441164,0.3185024546624484,0.30980128434636345,2.384892949338388,2.384892949338388,0.8752908335843868,2.2019108747015395,2.1012601879234323
Finland,Finland,UEFA,34.0,8.0,42.0,0.8095238095238095,0.19047619047619047,1.413575313615515,1.3896176233315105,1.2295664388842962,1.359131683436803,1.322001557478734,0.9009066162339784,0.9009066162339784,1.150733825655809,0.9484927513619461,0.9051365701806454
