rank,name,confed,off,defe,spi
195,British Virgin Islands,CONCACAF,0.1066666666666666,5.666666666666667,1.949903905798038
196,Nepal,AFC,0.0995121951219512,4.097560975609756,1.819117668214024
197,Solomon Islands,OFC,0.0987999999999999,1.7255415466991746,1.806098492745432
198,Bangladesh,AFC,0.0948837209302325,4.325581395348837,1.7345075441110456
199,East Timor,AFC,0.0914285714285714,5.142857142857143,1.6713462049697474
200,São Tomé and Príncipe,CAF,0.0899999999999999,5.625,1.645231420517094
201,Antigua and Barbuda,CONCACAF,0.0871630995096468,1.4235411178845414,1.5933718891436572
202,Bhutan,AFC,0.0861538461538461,3.923076923076923,1.5749223854522616
203,Somalia,CAF,0.08,5.357142857142857,1.4624279293485296
204,Tonga,OFC,0.08,6.0,1.4624279293485296
205,Seychelles,CAF,0.0769230769230769,4.5,1.4061807012966625
206,Andorra,UEFA,0.0760975609756097,4.317073170731708,1.3910899815754294
207,Guam,AFC,0.0711111111111111,6.0,1.2999359371986925
208,Mongolia,AFC,0.0705882352941176,4.235294117647059,1.2903775847192898
209,Anguilla,CONCACAF,0.0533333333333333,5.0,0.974951952899019
210,Gibraltar,UEFA,0.0526829268292683,4.536585365853658,0.9630622949368365
211,San Marino,UEFA,0.048780487804878,5.2682926829268295,0.8917243471637366
212,Macau,AFC,0.032,4.8,0.5849711717394118
213,Liechtenstein,UEFA,0.03,5.4,0.5484104735056985
214,Pakistan,AFC,0.028235294117647,4.941176470588236,0.5161510338877152
