team,name,confed,prior_matches,stage2_matches,stage1_matches,new_matches,total_matches,prior_weight,new_weight,prior_off,prior_xG_scaled,new_xG,pooled_xG_pre_normalization,xG,prior_def,prior_xGA_scaled,new_xGA,pooled_xGA_pre_normalization,xGA
England,England,UEFA,66.0,8.0,58.0,11.0,77.0,0.8571428571428571,0.14285714285714285,2.187686751691134,2.187686751691134,1.9772336634643444,2.1576220248015927,2.135605181100384,0.187611025061881,0.187611025061881,0.8316268047346979,0.27961327930085483,0.2774419492028674
Equatorial Guinea,Equatorial Guinea,CAF,51.0,10.0,41.0,3.0,54.0,0.9444444444444444,0.05555555555555555,0.946104953241956,0.946104953241956,0.8751509784276655,0.9421630657522732,0.9325490292244308,1.7775387318364675,1.7775387318364675,0.2917838557444068,1.6949967942757975,1.681834338026918
Estonia,Estonia,UEFA,54.0,8.0,46.0,4.0,58.0,0.9310344827586207,0.06896551724137931,1.5066456187216328,1.5066456187216328,1.0697839707122836,1.4765172292037465,1.4614505267489872,1.2253675133049076,1.2253675133049076,1.0742928058217394,1.2149485679612408,1.2055139145008718
Eswatini,Swaziland,CAF,44.0,4.0,40.0,0.0,44.0,1.0,0.0,0.487019486671552,0.487019486671552,0.487019486671552,0.487019486671552,0.4820498340659356,1.7394488724773496,1.7394488724773496,1.7394488724773496,1.7394488724773496,1.7259412246998043
Ethiopia,Ethiopia,CAF,42.0,4.0,38.0,2.0,44.0,0.9545454545454546,0.045454545454545456,0.99419432385172,0.99419432385172,0.6940394068113082,0.9805509185317013,0.970545164017597,1.2126132115340444,1.2126132115340444,0.4853394922866977,1.1795553152046196,1.1703955071849546
Faroe Islands,Faroe Islands,UEFA,49.0,8.0,41.0,3.0,52.0,0.9423076923076923,0.057692307692307696,1.4805929198919732,1.4805929198919732,0.7222054327251312,1.436839795632348,1.4221779703263038,0.7474347621801193,0.7474347621801193,1.2788913754754403,0.7780957206394649,0.7720534373059833
Fiji,Fiji,OFC,33.0,4.0,29.0,1.0,34.0,0.9705882352941176,0.029411764705882353,0.0012729819085626,0.0012729819085626,0.4385831113207456,0.014135044538332689,0.013990807474225635,0.8752908335843868,0.8752908335843868,0.8631984541568265,0.8749351753659291,0.8681408876096032
Finland,Finland,UEFA,54.0,8.0,46.0,4.0,58.0,0.9310344827586207,0.06896551724137931,1.2332704950176572,1.2332704950176572,1.865423668130693,1.2768672655771767,1.2638378347082608,1.153928573721821,1.153928573721821,0.9551914758237536,1.1402225669702302,1.13136819644728
France,France,UEFA,64.0,8.0,56.0,11.0,75.0,0.8533333333333334,0.14666666666666667,2.625073418383068,2.625073418383068,2.4057749489734563,2.5929096428696585,2.5664510297844183,0.6432854194299562,0.6432854194299562,0.7750502400198407,0.662610926449806,0.6574654374678334
Gabon,Gabon,CAF,45.0,10.0,35.0,2.0,47.0,0.9574468085106383,0.0425531914893617,1.4685649549198418,1.4685649549198418,1.7910220171172326,1.4822865320346246,1.467160958360888,1.0976297925786829,1.0976297925786829,1.8340503203219292,1.1289668363124379,1.1201998718912767
Gambia,Gambia,CAF,43.0,7.0,36.0,2.0,45.0,0.9555555555555556,0.044444444444444446,1.3992025380609252,1.3992025380609252,2.117333816949459,1.4311194837893046,1.4165160297875588,1.252078046631253,1.252078046631253,1.2834953754939749,1.2534743723584851,1.2437405477040795
